# --sessions 720 --app-url=http://shinyloadtest.rstudioservices.com/cran_explorer --output-dir test720 --overwrite-output --log-level warn --start-interval 500 15min.log
thread_id,event,timestamp,input_line_number,comment
615,PLAYER_SESSION_CREATE,1516222120261
615,PLAYER_START_INTERVAL_START,1516222120261
615,PLAYER_START_INTERVAL_END,1516222427762
615,REQ_HOME_START,1516222427762,2
615,REQ_HOME_END,1516222432170,2
615,REQ_START,1516222432170,3
615,REQ_END,1516222437205,3
615,REQ_START,1516222437205,4
615,REQ_END,1516222440989,4
615,REQ_START,1516222440989,5
615,REQ_END,1516222446997,5
615,REQ_START,1516222446997,6
615,REQ_END,1516222455883,6
615,REQ_START,1516222455883,7
615,REQ_END,1516222465427,7
615,REQ_START,1516222465428,8
615,REQ_END,1516222473174,8
615,REQ_START,1516222473174,9
615,REQ_END,1516222478994,9
615,REQ_START,1516222478994,10
615,REQ_END,1516222479011,10
615,REQ_START,1516222479011,11
615,REQ_END,1516222485547,11
615,REQ_START,1516222485547,12
615,REQ_END,1516222485571,12
615,REQ_START,1516222485571,13
615,REQ_END,1516222492397,13
615,REQ_START,1516222492397,14
615,REQ_END,1516222492428,14
615,REQ_START,1516222492428,15
615,REQ_END,1516222498267,15
615,REQ_TOK_START,1516222498267,16
615,REQ_TOK_END,1516222498277,16
615,REQ_SINF_START,1516222498277,17
615,REQ_SINF_END,1516222498298,17
615,WS_OPEN_START,1516222498298,18
615,WS_OPEN_END,1516222498308,18
615,REQ_START,1516222498308,19
615,REQ_END,1516222503057,19
615,WS_RECV_START,1516222503057,20
615,WS_RECV_END,1516222503057,20
615,PLAYER_SLEEPBEFORE_START,1516222503057,21
615,PLAYER_SLEEPBEFORE_END,1516222503065,21
615,WS_SEND_START,1516222503065,21
615,WS_SEND_END,1516222503065,21
615,PLAYER_SLEEPBEFORE_START,1516222503065,22
615,PLAYER_SLEEPBEFORE_END,1516222503066,22
615,WS_SEND_START,1516222503066,22
615,WS_SEND_END,1516222503066,22
615,WS_RECV_INIT_START,1516222503066,23
615,WS_RECV_INIT_END,1516222512247,23
615,WS_RECV_START,1516222512247,24
615,WS_RECV_END,1516222512731,24
615,PLAYER_SLEEPBEFORE_START,1516222512731,25
615,PLAYER_SLEEPBEFORE_END,1516222512738,25
615,REQ_START,1516222512739,25
615,REQ_END,1516222523147,25
615,PLAYER_SLEEPBEFORE_START,1516222523147,26
615,PLAYER_SLEEPBEFORE_END,1516222523148,26
615,REQ_START,1516222523148,26
615,REQ_END,1516222533964,26
615,PLAYER_SLEEPBEFORE_START,1516222533964,27
615,PLAYER_SLEEPBEFORE_END,1516222533968,27
615,REQ_START,1516222533968,27
615,REQ_END,1516222545189,27
615,PLAYER_SLEEPBEFORE_START,1516222545189,28
615,PLAYER_SLEEPBEFORE_END,1516222545474,28
615,REQ_START,1516222545474,28
615,REQ_END,1516222559022,28
615,PLAYER_SLEEPBEFORE_START,1516222559022,29
615,PLAYER_SLEEPBEFORE_END,1516222559197,29
615,WS_SEND_START,1516222559197,29
615,WS_SEND_END,1516222559197,29
615,WS_RECV_START,1516222559197,30
615,WS_RECV_END,1516222567640,30
615,PLAYER_SLEEPBEFORE_START,1516222567640,31
615,PLAYER_SLEEPBEFORE_END,1516222567652,31
615,REQ_START,1516222567652,31
615,REQ_END,1516222580087,31
615,PLAYER_SLEEPBEFORE_START,1516222580087,32
615,PLAYER_SLEEPBEFORE_END,1516222608232,32
615,WS_SEND_START,1516222608232,32
615,WS_SEND_END,1516222608232,32
615,WS_RECV_START,1516222608232,33
615,WS_RECV_END,1516222616697,33
615,PLAYER_SLEEPBEFORE_START,1516222616697,34
615,PLAYER_SLEEPBEFORE_END,1516222642608,34
615,WS_SEND_START,1516222642608,34
615,WS_SEND_END,1516222642608,34
615,WS_RECV_START,1516222642608,35
615,WS_RECV_END,1516222651305,35
615,PLAYER_SLEEPBEFORE_START,1516222651305,36
615,PLAYER_SLEEPBEFORE_END,1516222651315,36
615,WS_SEND_START,1516222651315,36
615,WS_SEND_END,1516222651315,36
615,WS_RECV_START,1516222651315,37
615,WS_RECV_END,1516222655274,37
615,PLAYER_SLEEPBEFORE_START,1516222655274,38
615,PLAYER_SLEEPBEFORE_END,1516222658469,38
615,WS_SEND_START,1516222658469,38
615,WS_SEND_END,1516222658469,38
615,WS_RECV_START,1516222658469,39
615,WS_RECV_END,1516222661358,39
615,PLAYER_SLEEPBEFORE_START,1516222661358,40
615,PLAYER_SLEEPBEFORE_END,1516222661404,40
615,WS_SEND_START,1516222661404,40
615,WS_SEND_END,1516222661404,40
615,WS_RECV_START,1516222661404,41
615,WS_RECV_END,1516222669426,41
615,PLAYER_SLEEPBEFORE_START,1516222669426,42
615,PLAYER_SLEEPBEFORE_END,1516222687561,42
615,WS_SEND_START,1516222687561,42
615,WS_SEND_END,1516222687561,42
615,WS_RECV_START,1516222687561,43
615,WS_RECV_END,1516222699741,43
615,PLAYER_SLEEPBEFORE_START,1516222699741,44
615,PLAYER_SLEEPBEFORE_END,1516222699753,44
615,WS_SEND_START,1516222699753,44
615,WS_SEND_END,1516222699753,44
615,WS_RECV_START,1516222699753,45
615,WS_RECV_END,1516222705893,45
615,PLAYER_SLEEPBEFORE_START,1516222705893,46
615,PLAYER_SLEEPBEFORE_END,1516222707154,46
615,WS_SEND_START,1516222707154,46
615,WS_SEND_END,1516222707154,46
615,WS_RECV_START,1516222707154,47
615,WS_RECV_END,1516222713139,47
615,PLAYER_SLEEPBEFORE_START,1516222713139,48
615,PLAYER_SLEEPBEFORE_END,1516222714459,48
615,WS_SEND_START,1516222714459,48
615,WS_SEND_END,1516222714459,48
615,WS_RECV_START,1516222714459,49
615,WS_RECV_END,1516222720307,49
615,PLAYER_SLEEPBEFORE_START,1516222720307,50
615,PLAYER_SLEEPBEFORE_END,1516222720332,50
615,WS_SEND_START,1516222720332,50
615,WS_SEND_END,1516222720332,50
615,WS_RECV_START,1516222720332,51
615,WS_RECV_END,1516222727761,51
615,PLAYER_SLEEPBEFORE_START,1516222727761,52
615,PLAYER_SLEEPBEFORE_END,1516222750325,52
615,WS_SEND_START,1516222750325,52
615,WS_SEND_END,1516222750325,52
615,WS_RECV_START,1516222750325,53
615,WS_RECV_END,1516222761425,53
615,PLAYER_SLEEPBEFORE_START,1516222761425,54
615,PLAYER_SLEEPBEFORE_END,1516222782728,54
615,WS_SEND_START,1516222782728,54
615,WS_SEND_END,1516222782728,54
615,PLAYER_SLEEPBEFORE_START,1516222782728,55
615,PLAYER_SLEEPBEFORE_END,1516222784669,55
615,WS_SEND_START,1516222784669,55
615,WS_SEND_END,1516222784669,55
615,WS_RECV_START,1516222784669,56
615,WS_RECV_END,1516222795116,56
615,PLAYER_SLEEPBEFORE_START,1516222795116,57
615,PLAYER_SLEEPBEFORE_END,1516222817988,57
615,WS_SEND_START,1516222817988,57
615,WS_SEND_END,1516222817988,57
615,WS_RECV_START,1516222817988,58
615,WS_RECV_END,1516222831722,58
615,PLAYER_SLEEPBEFORE_START,1516222831722,59
615,PLAYER_SLEEPBEFORE_END,1516222834049,59
615,WS_SEND_START,1516222834049,59
615,WS_SEND_END,1516222834049,59
615,WS_RECV_START,1516222834049,60
615,WS_RECV_END,1516222839071,60
615,PLAYER_SLEEPBEFORE_START,1516222839071,61
615,PLAYER_SLEEPBEFORE_END,1516222842662,61
615,WS_SEND_START,1516222842662,61
615,WS_SEND_END,1516222842662,61
615,WS_RECV_START,1516222842662,62
615,WS_RECV_END,1516222847355,62
615,PLAYER_SLEEPBEFORE_START,1516222847355,63
615,PLAYER_SLEEPBEFORE_END,1516222866617,63
615,WS_SEND_START,1516222866617,63
615,WS_SEND_END,1516222866617,63
